"Step","young-flower-175 - returns/max","young-flower-175 - returns/max__MIN","young-flower-175 - returns/max__MAX","young-flower-175 - returns/mean","young-flower-175 - returns/mean__MIN","young-flower-175 - returns/mean__MAX","young-flower-175 - returns/min","young-flower-175 - returns/min__MIN","young-flower-175 - returns/min__MAX","young-flower-175 - returns/std","young-flower-175 - returns/std__MIN","young-flower-175 - returns/std__MAX"
"1","2.0704658031463623","2.0704658031463623","2.0704658031463623","0.3165421485900879","0.3165421485900879","0.3165421485900879","-0.21091657876968384","-0.21091657876968384","-0.21091657876968384","0.39785006642341614","0.39785006642341614","0.39785006642341614"
"2","2.0704658031463623","2.0704658031463623","2.0704658031463623","0.3165421485900879","0.3165421485900879","0.3165421485900879","-0.21091657876968384","-0.21091657876968384","-0.21091657876968384","0.39785006642341614","0.39785006642341614","0.39785006642341614"
"3","2.0704658031463623","2.0704658031463623","2.0704658031463623","0.3165421485900879","0.3165421485900879","0.3165421485900879","-0.21091657876968384","-0.21091657876968384","-0.21091657876968384","0.39785006642341614","0.39785006642341614","0.39785006642341614"
"4","2.0704658031463623","2.0704658031463623","2.0704658031463623","0.3165421485900879","0.3165421485900879","0.3165421485900879","-0.21091657876968384","-0.21091657876968384","-0.21091657876968384","0.39785006642341614","0.39785006642341614","0.39785006642341614"
"5","2.0704658031463623","2.0704658031463623","2.0704658031463623","0.3165421485900879","0.3165421485900879","0.3165421485900879","-0.21091657876968384","-0.21091657876968384","-0.21091657876968384","","",""
"6","0.4991811513900757","0.4991811513900757","0.4991811513900757","0.04016412794589996","0.04016412794589996","0.04016412794589996","","","","","",""
"7","0.4991811513900757","0.4991811513900757","0.4991811513900757","","","","-0.5605876445770264","-0.5605876445770264","-0.5605876445770264","0.29174530506134033","0.29174530506134033","0.29174530506134033"
"8","0.4991811513900757","0.4991811513900757","0.4991811513900757","","","","-0.5605876445770264","-0.5605876445770264","-0.5605876445770264","0.29174530506134033","0.29174530506134033","0.29174530506134033"
"9","0.4991811513900757","0.4991811513900757","0.4991811513900757","0.04016412794589996","0.04016412794589996","0.04016412794589996","-0.5605876445770264","-0.5605876445770264","-0.5605876445770264","0.29174530506134033","0.29174530506134033","0.29174530506134033"
"10","0.4991811513900757","0.4991811513900757","0.4991811513900757","0.04016412794589996","0.04016412794589996","0.04016412794589996","-0.5605876445770264","-0.5605876445770264","-0.5605876445770264","0.29174530506134033","0.29174530506134033","0.29174530506134033"
"11","2.8117034435272217","2.8117034435272217","2.8117034435272217","-0.003555324161425233","-0.003555324161425233","-0.003555324161425233","-0.7138082981109619","-0.7138082981109619","-0.7138082981109619","0.5477867126464844","0.5477867126464844","0.5477867126464844"
"12","2.8117034435272217","2.8117034435272217","2.8117034435272217","-0.003555324161425233","-0.003555324161425233","-0.003555324161425233","-0.7138082981109619","-0.7138082981109619","-0.7138082981109619","0.5477867126464844","0.5477867126464844","0.5477867126464844"
"13","2.8117034435272217","2.8117034435272217","2.8117034435272217","","","","-0.7138082981109619","-0.7138082981109619","-0.7138082981109619","0.5477867126464844","0.5477867126464844","0.5477867126464844"
"14","2.8117034435272217","2.8117034435272217","2.8117034435272217","-0.003555324161425233","-0.003555324161425233","-0.003555324161425233","-0.7138082981109619","-0.7138082981109619","-0.7138082981109619","","",""
"15","2.8117034435272217","2.8117034435272217","2.8117034435272217","","","","-0.7138082981109619","-0.7138082981109619","-0.7138082981109619","0.5477867126464844","0.5477867126464844","0.5477867126464844"
"16","2.740720748901367","2.740720748901367","2.740720748901367","0.2637196481227875","0.2637196481227875","0.2637196481227875","-0.3617480397224426","-0.3617480397224426","-0.3617480397224426","0.7104617357254028","0.7104617357254028","0.7104617357254028"
"17","2.740720748901367","2.740720748901367","2.740720748901367","0.2637196481227875","0.2637196481227875","0.2637196481227875","-0.3617480397224426","-0.3617480397224426","-0.3617480397224426","0.7104617357254028","0.7104617357254028","0.7104617357254028"
