"Step","playful-dust-3 - reward/mean","playful-dust-3 - reward/mean__MIN","playful-dust-3 - reward/mean__MAX"
"0","0.03242457580341057","0.03242457580341057","0.03242457580341057"
"50","0.14228876583411312","0.14228876583411312","0.14228876583411312"
"100","0.16977011388250682","0.16977011388250682","0.16977011388250682"
"150","0.2171196198501838","0.2171196198501838","0.2171196198501838"
"200","0.18966576519139403","0.18966576519139403","0.18966576519139403"
"250","0.2695966312696719","0.2695966312696719","0.2695966312696719"
"300","0.2795992521586011","0.2795992521586011","0.2795992521586011"
"350","0.32449621544931695","0.32449621544931695","0.32449621544931695"
"400","0.3320445389674797","0.3320445389674797","0.3320445389674797"
"450","0.36944165739282403","0.36944165739282403","0.36944165739282403"
"500","0.414416604180703","0.414416604180703","0.414416604180703"
"550","0.4219113764871926","0.4219113764871926","0.4219113764871926"
"600","0.42190784838104883","0.42190784838104883","0.42190784838104883"
